Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Multisubbank interleave cycle time (ns), 
65, 65536, 1, 8, 512, 2.03522, 0.789593, 0.727653, 
65, 131072, 1, 8, 512, 2.07188, 0.821263, 0.766414, 
65, 262144, 1, 8, 512, 2.13542, 0.835004, 0.783067, 
65, 524288, 1, 8, 512, 2.27337, 0.887855, 0.836996, 
65, 1048576, 1, 8, 512, 2.47584, 0.994599, 0.904201, 
65, 2097152, 1, 8, 512, 3.02035, 0.887855, 1.16273, 
65, 4194304, 1, 8, 512, 3.85126, 1.13996, 1.60236, 
65, 8388608, 1, 8, 512, 5.39455, 1.86235, 2.19295, 
65, 16777216, 1, 8, 512, 7.11137, 1.86235, 2.83115, 
65, 33554432, 1, 8, 512, 10.095, 1.86235, 4.04705, 
