Tech node (nm), Capacity (bytes), Associativity, Access time (ns), 
65,1024,1,1E+39, 
65,1024,2,1E+39, 
65,1024,4,1E+39, 
65,1024,8,1E+39, 
65,1024,16,0.606835, 
65,2048,1,0.479408, 
65,2048,2,1E+39, 
65,2048,4,1E+39, 
65,2048,8,1E+39, 
65,2048,16,1E+39, 
65,2048,32,0.619469, 
65,4096,1,0.481356, 
65,4096,2,0.983246, 
65,4096,4,1E+39, 
65,4096,8,1E+39, 
65,4096,16,1E+39, 
65,4096,32,1E+39, 
65,4096,64,0.65489, 
65,8192,1,0.540947, 
65,8192,2,1.00566, 
65,8192,4,1.26074, 
65,8192,8,1E+39, 
65,8192,16,1E+39, 
65,8192,32,1E+39, 
65,8192,64,1E+39, 
65,8192,128,0.65489, 
65,16384,1,0.570123, 
65,16384,2,1.02468, 
65,16384,4,1.26889, 
65,16384,8,1.87869, 
65,16384,16,1E+39, 
65,16384,32,1E+39, 
65,16384,64,1E+39, 
65,16384,256,0.764565, 
65,32768,1,0.674873, 
65,32768,2,1.06503, 
65,32768,4,1.34886, 
65,32768,8,1.90655, 
65,32768,16,3.13424, 
65,32768,32,1E+39, 
65,32768,64,1E+39, 
65,32768,512,0.995428, 
65,65536,1,0.86254, 
65,65536,2,1.12057, 
65,65536,4,1.3714, 
65,65536,8,2.03522, 
65,65536,16,3.18737, 
65,65536,32,5.93149, 
65,65536,64,1E+39, 
65,65536,1024,1.17277, 
65,131072,1,0.996247, 
65,131072,2,1.19215, 
65,131072,4,1.42368, 
65,131072,8,2.07188, 
65,131072,16,3.30211, 
65,131072,32,5.69648, 
65,131072,64,10.6412, 
65,131072,2048,1.65275, 
65,262144,1,1.20648, 
65,262144,2,1.31591, 
65,262144,4,1.49276, 
65,262144,8,2.13542, 
65,262144,16,3.45732, 
65,262144,32,6.05007, 
65,262144,64,10.7204, 
65,262144,4096,2.52832, 
65,524288,1,1.59428, 
65,524288,2,1.73853, 
65,524288,4,1.74169, 
65,524288,8,2.27337, 
65,524288,16,3.55875, 
65,524288,32,6.13903, 
65,524288,64,10.7738, 
65,524288,8192,4.2606, 
65,1048576,1,2.02059, 
65,1048576,2,2.24497, 
65,1048576,4,2.25701, 
65,1048576,8,2.47584, 
65,1048576,16,3.72558, 
65,1048576,32,6.02815, 
65,1048576,64,10.8838, 
65,1048576,16384,7.71418, 
65,2097152,1,2.67655, 
65,2097152,2,2.98968, 
65,2097152,4,2.99212, 
65,2097152,8,3.02035, 
65,2097152,16,3.91131, 
65,2097152,32,6.21012, 
65,2097152,64,10.9837, 
65,2097152,32768,13.816, 
65,4194304,1,3.6386, 
65,4194304,2,3.86549, 
65,4194304,4,3.8532, 
65,4194304,8,3.85126, 
65,4194304,16,4.51702, 
65,4194304,32,6.50472, 
65,4194304,64,11.215, 
65,4194304,65536,26.1362, 
65,8388608,1,5.04997, 
65,8388608,2,5.38635, 
65,8388608,4,5.3875, 
65,8388608,8,5.39455, 
65,8388608,16,5.07883, 
65,8388608,32,7.29392, 
65,8388608,64,11.7366, 
65,8388608,131072,51.3345, 
65,16777216,1,6.38979, 
65,16777216,2,7.41852, 
65,16777216,4,7.14041, 
65,16777216,8,7.11137, 
65,16777216,16,7.07483, 
65,16777216,32,7.95909, 
65,16777216,64,12.6348, 
65,16777216,262144,103.631, 
65,33554432,1,9.48072, 
65,33554432,2,10.3383, 
65,33554432,4,10.274, 
65,33554432,8,10.095, 
65,33554432,16,10.0562, 
65,33554432,32,10.061, 
65,33554432,64,13.3976, 
65,33554432,524288,215.801, 
65,67108864,1,11.9131, 
65,67108864,2,14.3609, 
65,67108864,4,14.2962, 
65,67108864,8,14.2753, 
65,67108864,16,13.9718, 
65,67108864,32,13.9645, 
65,67108864,64,15.801, 
65,67108864,1048576,469.326, 
65,134217728,1,18.069, 
65,134217728,2,20.1372, 
65,134217728,4,20.0724, 
65,134217728,8,20.0512, 
65,134217728,16,20.0402, 
65,134217728,32,19.8766, 
65,134217728,64,19.932, 
65,134217728,2097152,1094.12, 
